filename,class,xmin,ymin,xmax,ymax
1.tif,2,0,23.95,58.67,103.95
2.tif,4,52.63,209.75,132.63,256
2.tif,4,0,172.79,55.68,252.79
3.tif,4,48.71,61.08,128.71,141.09
4.tif,4,180.3,91.77,256,171.78
4.tif,4,180.02,157.15,256,237.15
4.tif,4,150.8,105.07,230.8,185.07
4.tif,4,90.8,0,170.8,43.17
4.tif,4,93.77,19.72,173.77,99.72
5.tif,4,0,12.47,66.2,92.47
5.tif,4,25.2,41.77,105.2,121.77
5.tif,4,10.4,111.67,90.4,191.68
6.tif,1,142.61,54.29,222.62,134.3
7.tif,1,52.18,194.1,132.18,256
8.tif,2,36.44,2.52,116.44,82.52
9.tif,4,146.89,158.23,226.89,238.23
10.tif,4,0,195.23,49.89,256
10.tif,4,0,193.53,62.09,256
11.tif,4,40.86,143.64,120.86,223.64
12.tif,4,155.05,158.11,235.05,238.11
13.tif,1,199.9,0,256,51.34
14.tif,4,214.59,0,256,72.04
14.tif,4,129.49,36.23,209.49,116.23
14.tif,4,130.01,0,210.01,69.4
15.tif,4,6.79,35.64,86.79,115.64
15.tif,4,6.49,96.04,86.49,176.04
16.tif,4,141.55,36.45,221.55,116.45
16.tif,4,100.7,136.57,180.7,216.58
17.tif,4,98.26,0,178.26,70.02
17.tif,4,132.39,168.46,212.39,248.46
17.tif,1,0,87.63,71.23,167.63
18.tif,4,154.36,0,234.36,53.19
18.tif,4,193.73,67.01,256,147.01
19.tif,4,0,0,68.36,47.32
20.tif,2,30.88,0,110.88,59.66
21.tif,1,31.73,73.47,111.73,153.47
22.tif,1,2.27,119.66,82.27,199.66
23.tif,1,188.2,165.09,256,245.09
23.tif,1,69.16,146.1,149.16,226.1
23.tif,1,24.61,190.65,104.61,256
24.tif,4,81.52,101.16,161.52,181.16
24.tif,2,204.94,183.68,256,256
25.tif,4,211.9,115.37,256,195.37
25.tif,4,57.08,174.52,137.08,254.52
26.tif,2,43.34,0,123.34,67.19
26.tif,2,0,0,66.21,49.51
27.tif,2,206.32,134,256,214
28.tif,3,160.92,69.61,240.92,149.61
29.tif,3,23.47,8.95,103.47,88.95
30.tif,4,96.13,109.31,176.13,189.31
31.tif,4,0,169.97,47.51,249.97
32.tif,2,166.78,184.93,246.79,256
32.tif,2,157.26,86.51,237.26,166.51
32.tif,1,126.57,128.84,206.57,208.84
33.tif,2,8.68,199.75,88.68,256
33.tif,2,0,139.95,45.29,219.95
33.tif,2,0,82.27,73.34,162.27
34.tif,4,137.48,0,217.48,51.87
35.tif,4,0,182.88,75.98,256
36.tif,2,196.95,30.53,256,110.53
37.tif,2,0,0.37,67.52,80.37
38.tif,4,136.81,56.24,216.81,136.24
39.tif,4,215.26,0,256,70.51
39.tif,1,127.97,0,207.97,67.35
40.tif,3,0,182.18,41.88,256
41.tif,4,0,0,60.7,50.97
42.tif,4,76.18,1.25,156.18,81.25
43.tif,2,182.84,72.8,256,152.8
43.tif,2,172.78,23.06,252.78,103.06
44.tif,2,0,34.7,58.7,114.7
44.tif,2,24.2,63.81,104.21,143.81
45.tif,1,194.1,188.33,256,256
46.tif,1,105.27,123.37,185.27,203.37
46.tif,1,121.67,84.47,201.67,164.47
46.tif,1,113.44,10.63,193.44,90.63
46.tif,1,62.74,61.83,142.74,141.83
46.tif,1,73.04,30.03,153.04,110.03
47.tif,1,0,170.68,75.7,250.68
48.tif,2,154.83,200.91,234.83,256
49.tif,3,208.65,127.95,256,207.96
49.tif,1,78.1,126.95,158.11,206.95
49.tif,1,118.22,126.94,198.23,206.94
49.tif,1,214.71,0,256,66.34
49.tif,1,5.76,92.79,85.76,172.79
50.tif,1,26.81,56.72,106.81,136.72
51.tif,2,0,16.51,61.42,96.51
52.tif,1,152.88,0,232.88,41.55
53.tif,4,0,215.61,56.77,256
54.tif,4,211.61,18.87,256,98.87
55.tif,4,63.55,54.86,143.56,134.86
56.tif,4,138.68,0,218.68,70.62
57.tif,4,15.11,168.91,95.11,248.92
58.tif,1,196.58,161.03,256,241.03
59.tif,4,32.89,188.53,112.89,256
60.tif,4,131.4,156.57,211.41,236.57
61.tif,4,152.38,209.37,232.38,256
61.tif,4,0,213.19,64.92,256
62.tif,1,0,0,74.96,73.27
62.tif,1,22.36,96.37,102.36,176.38
62.tif,1,16.06,129.38,96.06,209.38
62.tif,1,80.16,68.27,160.17,148.28
63.tif,3,200.99,126.11,256,206.11
64.tif,4,92.31,44.91,172.31,124.91
64.tif,4,39.65,0,119.65,45.88
64.tif,4,162.35,6.97,242.35,86.97
64.tif,3,96.35,79.59,176.35,159.59
64.tif,3,0,24.88,63.08,104.88
64.tif,3,176.87,98.89,256,178.89
64.tif,1,32.21,82.01,112.21,162.01
65.tif,4,94.64,76.68,174.64,156.68
66.tif,1,56.05,54.03,136.05,134.03
66.tif,1,201.35,0,256,69.93
66.tif,1,178.65,9.63,256,89.63
66.tif,1,215.35,37.73,256,117.74
67.tif,4,40.46,29.49,120.46,109.49
67.tif,3,17.92,162.8,97.92,242.81
68.tif,1,191.58,28,256,108
68.tif,1,102.48,142.02,182.49,222.02
69.tif,1,0,38.16,50.3,118.16
69.tif,1,18.07,58.41,98.07,138.41
69.tif,1,35.06,155.13,115.07,235.13
70.tif,1,32.85,98.43,112.85,178.43
71.tif,1,0,175.93,69.03,255.93
72.tif,4,26.53,205.42,106.54,256
73.tif,4,0,171.99,54.84,251.99
73.tif,4,90.65,171.85,170.65,251.85
74.tif,1,34.92,170.95,114.92,250.95
75.tif,4,98.57,153.32,178.57,233.32
75.tif,4,0,116.82,66.87,196.82
75.tif,1,151.15,165.68,231.15,245.68
76.tif,1,173.26,0,253.26,44.04
77.tif,1,36.73,0,116.74,51.21
78.tif,4,193.9,198.24,256,256
79.tif,4,53.79,210.98,133.79,256
80.tif,1,15.41,174.22,95.41,254.22
81.tif,4,114.58,0,194.58,76.65
82.tif,1,151.26,76.52,231.26,156.52
82.tif,1,161.64,15.55,241.64,95.55
83.tif,4,180.18,37.57,256,117.57
83.tif,1,27.42,0,107.42,49.34
84.tif,4,0,47.86,66.36,127.86
85.tif,3,31.21,104.66,111.21,184.66
85.tif,3,202.82,74.36,256,154.36
86.tif,1,135.16,162.52,215.16,242.52
86.tif,1,181.51,157.26,256,237.26
86.tif,1,34.96,153.15,114.96,233.15
86.tif,1,26.62,189.74,106.62,256
86.tif,1,88.7,167.55,168.7,247.55
86.tif,1,0,192.11,67.62,256
87.tif,1,4.37,211.98,84.37,256
87.tif,1,0,142.96,53.6,222.96
87.tif,1,83.76,151.95,163.76,231.95
88.tif,3,189.35,68.83,256,148.83
88.tif,1,101.56,0,181.56,44.88
88.tif,1,0,18.7,58.4,98.71
89.tif,4,18.47,0,98.47,64.78
89.tif,3,0,0,58.07,66.78
89.tif,1,161.69,0,241.69,64.6
89.tif,1,59.65,0,139.65,69.6
